match_keyword,standard_product_name,brand,product_group,main_ingredient,category_major,category_middle,category_sub,classification_source,classification_score,manual_lock,review_status,enabled,admin_action,admin_updated_at,note
궁키친 이상민 손질 통 쭈꾸미 5팩 100미 + 만능 매콤 양념 소스 1팩,,,,,,,,pending,,N,확인필요,N,,,2026-09-04 신규 자동등록 · 표준상품명 미확정 · 대시보드에서 기존상품 연결/신규확정/제외 필요
궁키친 이상민 시그니처 갈비살 16팩 + 마늘듬뿍 갈비소스 1병,,,,,,,,,,,확인필요,N,,,2026-08-21 신규 자동등록 · 표준상품명 미확정 · 대시보드에서 기존상품 연결/신규확정/제외 필요
그랑베리 캐나다 야생블루베리 100% 12박스+1박스더,,,,,,,,,,,확인필요,N,,,2026-08-28 신규 자동등록 · 표준상품명 미확정 · 대시보드에서 기존상품 연결/신규확정/제외 필요
그레인온 캡슐레이션효소 10박스+무선 텀블러 블렌더,,,,,,,,,,,확인필요,N,,,2026-08-27 신규 자동등록 · 표준상품명 미확정 · 대시보드에서 기존상품 연결/신규확정/제외 필요
그레인온_카무트효소,,,,,,,,,,,확인필요,N,,,2026-08-26 신규 자동등록 · 표준상품명 미확정 · 대시보드에서 기존상품 연결/신규확정/제외 필요
그레인온골드카무트 브랜드밀담은효소 x12박스+무선텀블러블랜더,,,,,,,,pending,,N,확인필요,N,,,2026-09-03 신규 자동등록 · 표준상품명 미확정 · 대시보드에서 기존상품 연결/신규확정/제외 필요
기순도명인 전통식혜세트,,,,,,,,pending,,N,확인필요,N,,,2026-09-03 신규 자동등록 · 표준상품명 미확정 · 대시보드에서 기존상품 연결/신규확정/제외 필요
김규흔명장의 시그니처 영양바 80개 + 미니꿀약과 2봉,,,,,,,,,,,확인필요,N,,,2026-08-26 신규 자동등록 · 표준상품명 미확정 · 대시보드에서 기존상품 연결/신규확정/제외 필요
김석원 백태 낫또 45.5g x 34개,,,,,,,,,,,확인필요,N,,,2026-08-25 신규 자동등록 · 표준상품명 미확정 · 대시보드에서 기존상품 연결/신규확정/제외 필요
김선영의 황태구이 간장맛 200g x 4팩 + 김선영의 황태구이 고추장맛 200g x 4팩,,,,,,,,,,,확인필요,N,,,2026-08-27 신규 자동등록 · 표준상품명 미확정 · 대시보드에서 기존상품 연결/신규확정/제외 필요
김연도 오색현미500g*8봉+햇흰찰쌀보리600g*5봉,,,,,,,,,,,확인필요,N,,,2026-08-25 신규 자동등록 · 표준상품명 미확정 · 대시보드에서 기존상품 연결/신규확정/제외 필요
김오곤 원장의 한방 다이어트 블랙,,,,,,,,,,,확인필요,N,,,2026-08-28 신규 자동등록 · 표준상품명 미확정 · 대시보드에서 기존상품 연결/신규확정/제외 필요
김종철 홍천약도라지청 100gx4병x2세트,,,,,,,,pending,,N,확인필요,N,,,2026-09-03 신규 자동등록 · 표준상품명 미확정 · 대시보드에서 기존상품 연결/신규확정/제외 필요
김하진 궁중 한우 도가니수육탕 700g × 10팩 + 700g × 2팩 _실온보관,,,,,,,,,,,확인필요,N,,,2026-08-25 신규 자동등록 · 표준상품명 미확정 · 대시보드에서 기존상품 연결/신규확정/제외 필요
김하진 수라간 LA갈비 400g x 10팩,,,,,,,,,,,확인필요,N,,,2026-08-28 신규 자동등록 · 표준상품명 미확정 · 대시보드에서 기존상품 연결/신규확정/제외 필요
김하진 수라간 갈비찜 500g x 8팩,,,,,,,,pending,,N,확인필요,N,,,2026-09-06 신규 자동등록 · 표준상품명 미확정 · 대시보드에서 기존상품 연결/신규확정/제외 필요
김하진_새우장,,,,,,,,,,,확인필요,N,,,2026-08-25 신규 자동등록 · 표준상품명 미확정 · 대시보드에서 기존상품 연결/신규확정/제외 필요
